Date,market_value,balance,stock_owned,price,action,amount
2022-07-13,199448.4096803711,755.7839479492468,69,2879.603271484375,buy,18
2022-07-14,199309.9211549805,755.7839479492468,69,2877.59619140625,buy,0
2022-07-15,201944.57227802736,755.7839479492468,69,2915.779541015625,buy,0
2022-07-18,204626.5092897461,755.7839479492468,69,2954.648193359375,buy,0
2022-07-19,204710.97364521486,755.7839479492468,69,2955.872314453125,buy,0
2022-07-20,203856.3911256836,755.7839479492468,69,2943.487060546875,buy,0
2022-07-21,207886.03492451174,755.7839479492468,69,3001.8876953125,buy,0
2022-07-22,207973.85157490236,755.7839479492468,69,3003.160400390625,buy,0
2022-07-25,210510.5617799805,755.7839479492468,69,3039.92431640625,sell,0
2022-07-26,210750.36036396486,755.7839479492468,69,3043.399658203125,buy,0
2022-07-27,215989.256115918,755.7839479492468,69,3119.32568359375,buy,0
2022-07-28,221822.61988544924,755.7839479492468,69,3203.8671875,buy,0
2022-07-29,225967.13453388674,755.7839479492468,69,3263.9326171875,sell,0
2022-08-01,225345.629162793,755.7839479492468,69,3254.92529296875,buy,0
2022-08-02,230182.55274677736,755.7839479492468,69,3325.025634765625,buy,0
2022-08-03,233121.201428418,755.7839479492468,69,3367.61474609375,buy,0
2022-08-04,234529.73804951174,755.7839479492468,69,3388.0283203125,buy,0
2022-08-05,235434.9419069336,755.7839479492468,69,3401.147216796875,buy,0
2022-08-08,234391.232678418,755.7839479492468,69,3386.02099609375,buy,0
2022-08-10,231229.66480732424,755.7839479492468,69,3340.201171875,buy,0
2022-08-11,230793.933850293,755.7839479492468,69,3333.88623046875,buy,0
2022-08-12,232324.04591083986,755.7839479492468,69,3356.061767578125,sell,0
2022-08-16,237265.69923115236,755.7839479492468,69,3427.679931640625,buy,0
2022-08-17,238799.19727802736,755.7839479492468,69,3449.904541015625,buy,0
2022-08-18,239586.21168232424,755.7839479492468,69,3461.310546875,buy,0
2022-08-19,236019.31934833986,755.7839479492468,69,3409.616455078125,buy,0
2022-08-22,227048.0053834961,755.7839479492468,69,3279.597412109375,buy,0
2022-08-23,227510.75684833986,755.7839479492468,69,3286.303955078125,buy,0
2022-08-24,229013.86524677736,755.7839479492468,69,3308.088134765625,buy,0
2022-08-25,227909.32618427736,755.7839479492468,69,3292.080322265625,buy,0
2022-08-26,225278.0610475586,755.7839479492468,69,3253.946044921875,buy,0
2022-08-29,226608.88844013674,755.7839479492468,69,3273.2333984375,buy,0
2022-08-30,229875.1860475586,755.7839479492468,69,3320.571044921875,buy,0
2022-09-01,233587.32203388674,755.7839479492468,69,3374.3701171875,buy,0
2022-09-02,232540.2436647461,755.7839479492468,69,3359.195068359375,buy,0
2022-09-05,232118.006115918,755.7839479492468,69,3353.07568359375,buy,0
2022-09-06,230121.77344990236,755.7839479492468,69,3324.144775390625,buy,0
2022-09-07,230466.28492451174,755.7839479492468,69,3329.1376953125,buy,0
2022-09-08,233830.52344990236,755.7839479492468,69,3377.894775390625,buy,0
2022-09-09,233269.83106708986,755.7839479492468,69,3369.768798828125,buy,0
2022-09-12,232617.90235615236,755.7839479492468,69,3360.320556640625,sell,0
2022-09-13,231942.3391237305,755.7839479492468,69,3350.52978515625,buy,0
2022-09-14,233073.9155397461,755.7839479492468,69,3366.929443359375,buy,0
2022-09-15,230126.57885107424,14047.631097167998,65,3324.29150390625,sell,4
2022-09-16,225490.50463232424,14047.631097167998,65,3252.96728515625,buy,0
2022-09-19,225089.554925293,14047.631097167998,65,3246.798828125,buy,0
2022-09-20,229986.54955419924,14047.631097167998,65,3322.13720703125,buy,0
2022-09-21,227622.396722168,14047.631097167998,65,3285.765625,buy,0
2022-09-22,232710.297112793,14047.631097167998,65,3364.041015625,buy,0
2022-09-23,230117.04149755862,14047.631097167998,65,3324.144775390625,buy,0
2022-09-26,232840.75731787112,14047.631097167998,65,3366.048095703125,buy,0
2022-09-27,234909.940934668,450.3330245117486,69,3397.96533203125,buy,4
2022-09-28,241665.43849326175,450.3330245117486,69,3495.87109375,buy,0
2022-09-29,229110.3696456055,450.3330245117486,69,3313.91357421875,buy,0
2022-09-30,226249.39650107425,450.3330245117486,69,3272.4501953125,buy,0
